ID,age,sex,mom_sad,mom_happy,friendmom_sad,friendmom_happy
S001,8.038356164383561,F,0,1,1,0
S002,8.393607305936074,F,0,0,0,0
S003,7.6600456621004565,M,1,0,0,1
S004,6.89634703196347,M,1,1,0,1
S005,9.879908675799088,F,1,1,1,1
S006,7.985159817351598,F,1,1,1,0
S007,7.916666666666667,F,1,1,0,1
S008,8.393607305936074,F,1,1,1,1
S009,9.766438356164384,M,1,0,0,0
S010,8.09703196347032,F,1,0,0,1
S011,7.107990867579908,M,1,0,0,0
S012,8.474200913242008,M,0,0,0,0
S013,6.588812785388128,M,1,1,0,0
S014,6.782876712328767,M,0,1,1,1
S015,8.680365296803652,M,1,0,0,1
S016,7.19406392694064,M,1,0,1,1
S017,6.672146118721462,M,1,1,0,0
S018,8.154566210045664,M,1,1,0,0
S019,7.510958904109589,M,1,1,0,1
S020,9.1162100456621,F,1,1,1,0
S021,6.441324200913242,F,1,0,0,1
S022,6.441324200913242,F,0,0,0,1
S023,7.205022831050228,M,1,1,0,1
S024,6.782876712328767,F,1,1,0,0
S025,7.852511415525114,F,1,1,0,0
S026,6.041095890410959,M,0,0,0,1
S027,6.957762557077626,M,1,1,1,1
S028,7.573972602739726,F,1,0,0,1
S029,6.471461187214612,M,0,0,1,0
S030,7.154566210045662,M,1,0,0,1
S031,7.579452054794521,M,1,0,0,0
S032,8.946803652968036,M,0,1,0,0
S034,7.140867579908676,M,1,1,1,1
S035,9.13812785388128,M,1,1,0,1
S036,6.565753424657534,M,0,1,1,0
S037,8.338812785388129,M,0,0,0,0
S038,8.941324200913241,M,1,1,1,1
S039,7.399086757990867,M,1,0,0,0
S040,6.6600456621004565,M,1,1,1,1
S041,8.332191780821917,F,1,1,0,0
S042,9.56027397260274,F,1,1,0,0
S044,9.79931506849315,F,1,1,1,1
S045,7.657305936073059,F,1,1,0,1
S046,8.188584474885845,F,1,0,1,0
S047,8.174885844748857,F,1,1,1,1
S048,9.621689497716895,M,1,0,0,0
S049,7.274657534246575,M,1,0,1,0
S050,7.097031963470319,M,0,0,1,1
S051,9.180365296803652,F,1,0,0,0
S052,9.535616438356165,M,1,0,0,0
S053,7.449543378995434,M,1,1,1,0
S054,8.476940639269406,M,1,1,1,1
S055,6.291095890410959,M,0,1,0,1
S056,6.202283105022832,M,0,0,0,0
S057,9.255479452054795,M,1,1,0,0
S058,7.502739726027397,F,0,0,1,1
S059,6.877168949771689,M,1,0,1,0
