ID,age,sex,create_sad,create_happy
A1_001,NA,NA,0,0
A1_002,NA,NA,0,0
A1_003,NA,NA,1,1
A1_004,NA,NA,0,0
A1_005,NA,NA,1,1
A1_006,NA,NA,1,1
A1_007,NA,NA,1,0
A1_008,NA,NA,1,1
A1_009,NA,NA,0,0
A1_010,NA,NA,0,1
A1_011,NA,NA,0,0
A1_012,NA,NA,0,1
A1_013,NA,NA,0,0
A1_014,NA,NA,0,0
A1_015,NA,NA,0,0
A1_016,NA,NA,1,1
A1_017,NA,NA,0,0
A1_018,NA,NA,1,1
A1_019,NA,NA,1,1
A1_020,NA,NA,1,0
A1_021,NA,NA,0,1
A1_022,NA,NA,0,0
A1_023,NA,NA,0,0
A1_024,NA,NA,1,1
A1_025,NA,NA,0,0
A1_026,NA,NA,0,0
A1_027,NA,NA,1,0
A1_028,NA,NA,0,1
A1_029,NA,NA,1,1
A1_030,NA,NA,0,0
A1_031,NA,NA,1,1
A1_032,NA,NA,1,1
A1_033,NA,NA,1,1
A1_034,NA,NA,1,1
A1_035,NA,NA,1,1
A1_036,NA,NA,0,0
A1_037,NA,NA,0,0
A1_038,NA,NA,0,0
A1_039,NA,NA,1,1
A1_040,NA,NA,0,0
A1_041,NA,NA,1,1
A1_042,NA,NA,NA,0
A1_043,NA,NA,1,1
A1_044,NA,NA,1,1
A1_045,NA,NA,0,0
A1_046,NA,NA,0,0
A1_047,NA,NA,1,1
