model,term,median,CI_low,CI_high,pct_in_ROPE,pd
study1_bf_gender,b_Intercept,-0.06,-0.87,0.83,19,0.552
study1_bf_gender,b_emotionsad,1.68,0.93,2.53,0,1
study1_bf_gender,b_genderM,0.19,-0.59,0.98,17.6,0.676
study1_bf_gender,b_emotionsad:genderM,-0.13,-1.18,0.89,15.1,0.6
study1_food_gender,b_Intercept,0.05,-0.31,0.42,39.9,0.602
study1_food_gender,b_emotionsad,0.44,0.06,0.85,3.8,0.988
study1_food_gender,b_genderM,0.02,-0.38,0.42,37.3,0.54
study1_food_gender,b_emotionsad:genderM,0.01,-0.52,0.54,29.3,0.513
study2_gender,b_Intercept,-0,-0.29,0.29,49.8,0.507
study2_gender,b_emotionsad,0.09,-0.22,0.41,39.7,0.719
study2_gender,b_genderM,-0.22,-0.58,0.14,21.5,0.887
study2_gender,b_emotionsad:genderM,0.28,-0.15,0.71,16.6,0.9
study3A_gender,b_Intercept,0.15,-0.46,0.77,22.3,0.692
study3A_gender,b_emotionsad,0.08,-0.52,0.7,25,0.593
study3A_gender,b_genderM,0.34,-0.33,1.01,13.9,0.841
study3A_gender,b_emotionsad:genderM,-0.81,-1.67,0.02,2.9,0.973
study3B_gender,b_Intercept,-0.05,-0.59,0.48,29.4,0.568
study3B_gender,b_emotionsad,-0.7,-1.26,-0.17,1.3,0.995
study3B_gender,b_genderM,-0.48,-1.1,0.15,8.3,0.931
study3B_gender,b_emotionsad:genderM,0.68,-0.05,1.45,4.1,0.967
study4A_gender,b_Intercept,0.16,-0.19,0.52,29.2,0.82
study4A_gender,b_emotionsad,0.1,-0.27,0.48,36.2,0.695
study4A_gender,b_genderM,-0.18,-0.58,0.23,26.7,0.809
study4A_gender,b_emotionsad:genderM,0.13,-0.39,0.63,26.3,0.686
study4B_gender,b_Intercept,-0.26,-0.58,0.04,13.6,0.954
study4B_gender,b_emotionsad,0.02,-0.32,0.34,44.7,0.538
study4B_gender,b_genderM,-0.15,-0.52,0.23,30.2,0.779
study4B_gender,b_emotionsad:genderM,0.18,-0.27,0.63,25.4,0.783
