model,n_param,max_Rhat,min_ESS,n_divergent,BayesR2,BayesR2_low,BayesR2_high
study1_bf_child,62,1.003,1763,0,0.34,0.152,0.527
study1_bf_adult,50,1.001,1988,0,0.174,0.009,0.43
study1_food_child,66,1.001,2342,0,0.144,0.048,0.244
study1_food_adult,52,1.001,6192,0,0.163,0.082,0.245
study4A_child,66,1.001,3319,0,0.27,0.159,0.36
study4A_adult,52,1.001,3058,0,0.371,0.255,0.468
study4B_child,114,1.001,4216,0,0.239,0.155,0.312
study4B_adult,54,1.003,3429,0,0.207,0.078,0.315
study2_child,114,1.001,3893,0,0.225,0.141,0.299
study2_adult,54,1.001,3767,0,0.351,0.235,0.445
study3A_child,62,1.002,2427,0,0.168,0.033,0.347
study3A_adult,50,1.002,3186,0,0.706,0.549,0.803
study3B_child,110,1.002,2084,0,0.283,0.1,0.43
study3B_adult,52,1.003,1801,0,0.243,0.027,0.475
